# Vybe swap demo — token catalog from Jupiter datapi (Top list)
# Source: https://datapi.jup.ag/v1/assets/search?query=&limit=100
# Denylist: public/data/token-catalog-excluded.json (0 mints)
# Icons: /data/token-icons/ (run npm run download:token-icons to refresh)
# Columns: mint	symbol	name	logoUrl	decimals	tags
# Regenerate: npm run fetch:catalog
# Filter routes: npm run filter:catalog
mint	symbol	name	logoUrl	decimals	tags
XsoCS1TfEyfFhfvj8EtZ528L3CaKBDBRqRapnBbDF2W	SPYx	SP500 xStock	/data/token-icons/XsoCS1TfEyfFhfvj8EtZ528L3CaKBDBRqRapnBbDF2W.png	8	Token2022
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So	mSOL	Marinade staked SOL (mSOL)	/data/token-icons/mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So.png	9	
SPCXwBHVrKpRqMRawL3NNvt1sXP2Yf3edwRbta53N69	SPCX69	SPCX69	/data/token-icons/SPCXwBHVrKpRqMRawL3NNvt1sXP2Yf3edwRbta53N69.png	6	Token2022
Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk	USELESS	USELESS COIN	/data/token-icons/Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk.png	6	
Xsc9qvGR1efVDFGLrVsmkzv3qi45LTBjeUKSPmx9qEh	NVDAx	NVIDIA xStock	/data/token-icons/Xsc9qvGR1efVDFGLrVsmkzv3qi45LTBjeUKSPmx9qEh.png	8	Token2022
Tqj8yFmagrg7oorpQkVGYR52r96RFTamvWfth9bpump	KINS	Kintara	/data/token-icons/Tqj8yFmagrg7oorpQkVGYR52r96RFTamvWfth9bpump.png	6	Token2022
DRAMjSWR7HRfJKjRkvQWYL2bcaejaVhuxEcjf4pAY4Cw	DRAM	Roundhill Memory ETF - Backpack Securities	/data/token-icons/DRAMjSWR7HRfJKjRkvQWYL2bcaejaVhuxEcjf4pAY4Cw.svg	6	Token2022
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2	TROLL	TROLL	/data/token-icons/5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2.png	6	
Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump	pippin	Pippin	/data/token-icons/Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump.png	6	
5pYB12kEhfhSFXJjZ7JtyqDpt6uUqhsF6iu6Ee9spump	CATWIF	catwifhat	/data/token-icons/5pYB12kEhfhSFXJjZ7JtyqDpt6uUqhsF6iu6Ee9spump.jpg	6	Token2022
